code,name,chapter_key,chapter,sex_restriction
A068,INFECCIÓN AMEBIANA DE OTRAS LOCALIZACIONES,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A069,"AMEBIASIS, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A070,BALANTIDIASIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A071,GIARDIASIS [LAMBLIASIS],I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A072,CRIPTOSPORIDIOSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A073,ISOSPORIASIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A079,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A080,ENTERITIS DEBIDA A ROTAVIRUS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A081,GASTROENTEROPATÍA AGUDA DEBIDA AL AGENTE DE NORWALK,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A082,ENTERITIS DEBIDA A ADENOVIRUS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A083,OTRAS ENTERITIS VIRALES,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A084,"INFECCIÓN INTESTINAL VIRAL, SIN OTRA ESPECIFICACIÓN",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A090,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A099,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A150,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR HALLAZGO MICROSCÓPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A151,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA ÚNICAMENTE POR CULTIVO",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A152,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA HISTOLÓGICAMENTE",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A153,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A154,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A155,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
